,B cells,CAFs,Cholangiocyte,Hepatocytes,Kupffer cells,LSEC,LVEC,LVECm,Myofibroblasts,Pericytes,Proliferation,SAMs,Stellate cells,T cells_far,T cells_tumor,TM1,cDC1,cDC2,h5_Carcinoma,rho_Spearman,rho_Pearson
1_nmc_H5,0.00899781915243386,0.003573982211584157,0.17419745859875538,0.6565126391386668,0.007399716783518714,0.016175615585481383,0.005458654240397869,0.0,0.01832077613327151,0.004603585850402008,0.01984403851766153,0.01736861530823051,0.00853504262457938,0.00023998720019524153,0.02390552053442363,0.004257873363942109,0.011697051183108901,0.017679390539243667,0.0012322330341034092,0.694513972757046,0.8264598590459318
2_nmb_H5,0.009053711393665783,0.010340426023741302,0.16158439567450683,0.605978254005763,0.027259839820164986,0.012283564474386692,0.007674210998791834,0.01065871835864821,0.01305303456092218,0.003838157299342007,0.005015219059141582,0.010339639148374739,0.025499882113199177,0.015951440069825455,0.004841088940924352,0.00356447734628167,0.004432151369361473,0.0033545473845927537,0.06527724195836607,0.7406855370966594,0.8428506387768572
3_mb_H5,0.00929612991131336,0.0099897651279488,0.1274631920756147,0.14068902557681878,0.02802329091058913,0.005059750553053034,0.020038402049530123,0.023599532889921577,0.009949027621363158,0.008507442457052187,0.005819168875481643,0.015042432582192226,0.15103582785648823,0.0545707135979663,0.015107811139285549,0.03453136813491255,0.002831448025407797,0.004865342219757631,0.3335803283953032,0.74197860193663,0.8287455716744474
4_mc_H5,0.0037937707160739143,0.06843811870974831,0.09496922025340082,0.029231306612257354,0.00036527466450472166,0.012190790744135023,0.028453526021269195,0.010837140489175418,0.021551488971395045,0.004794810087661449,0.0021447917995747437,0.0049791394343744605,0.01655722574891117,0.0058765567335213025,0.022125007649928214,0.007530296401119524,0.0036377304523766574,0.00222183412540738,0.6603019703851654,0.8408268416466431,0.8205603361542658
5_mcol_H5,0.003078369012785212,0.263358215847102,0.002469908923145373,0.022920315238180586,0.02294309928215697,0.018498130406034253,0.01690280506600632,0.047570812348093995,0.069054687610788,0.0005432921966395333,0.008697213895822564,0.020001357956742887,0.26054373849141876,0.040121682487756716,0.047029716405994064,0.03912176677083658,0.005795118966884562,0.022474883792628634,0.08887488530098306,0.689757654387386,0.8159744281794751
