index,B cells,CAFs,Cholangiocyte,Hepatocytes,Kupffer cells,LSEC,LVEC,LVECm,Myofibroblasts,Pericytes,Proliferation,SAMs,Stellate cells,T cells_far,T cells_tumor,TM1,cDC1,cDC2,Carcinoma
TSPAN6,4.75E-06,3.38E-05,5.96E-05,7.78E-05,2.62E-05,8.33E-05,3.79E-05,2.47E-05,0,3.02E-05,7.26E-05,4.28E-06,4.60E-05,0,0,8.65E-06,0,7.01E-06,0.000214814
DPM1,2.85E-05,4.13E-05,5.70E-05,3.34E-05,1.96E-05,3.85E-05,8.57E-05,4.63E-05,3.11E-05,2.01E-05,3.39E-05,2.40E-05,3.45E-05,1.99E-05,4.52E-05,2.59E-05,3.49E-05,3.51E-05,5.86E-05
SCYL3,4.75E-06,7.51E-06,1.04E-05,5.47E-06,6.55E-06,0,1.26E-05,6.18E-06,6.21E-06,2.01E-05,4.84E-06,5.14E-06,7.66E-06,0,0,4.32E-06,0,3.51E-06,1.39E-05
C1orf112,4.75E-06,3.76E-06,5.18E-06,6.08E-07,1.64E-06,0,4.22E-06,0,0,0,1.94E-05,5.14E-06,7.66E-06,0,0,4.32E-06,1.16E-05,0,0
FGR,4.75E-06,0,2.59E-06,0,7.86E-05,6.41E-06,2.11E-05,3.09E-05,0,0,5.81E-05,0.000148238,0,7.94E-05,0,0.000188766,0.000139493,0.000505006,0
CFH,2.85E-05,0.000431924,3.88E-05,0.001210327,4.09E-05,4.17E-05,8.29E-05,0.000225478,4.35E-05,0.000261446,0.000101702,1.80E-05,0.001107373,1.99E-05,3.01E-05,7.49E-05,2.32E-05,2.45E-05,2.79E-06
FUCA2,9.98E-05,6.01E-05,5.96E-05,3.28E-05,0.000132595,7.37E-05,4.92E-05,4.94E-05,6.21E-06,7.04E-05,8.72E-05,9.17E-05,6.90E-05,6.62E-06,1.51E-05,5.91E-05,4.65E-05,6.31E-05,1.67E-05
GCLC,1.90E-05,9.39E-06,4.40E-05,4.80E-05,4.75E-05,9.62E-06,8.43E-06,1.85E-05,0,0,3.87E-05,4.63E-05,1.15E-05,1.99E-05,1.51E-05,2.31E-05,3.49E-05,2.10E-05,1.39E-05
NFYA,1.43E-05,1.50E-05,2.85E-05,0,2.78E-05,1.28E-05,4.22E-06,2.78E-05,6.21E-06,0,9.69E-06,8.57E-06,2.30E-05,6.62E-06,1.51E-05,7.20E-06,1.16E-05,0,4.18E-05
STPG1,3.80E-05,5.63E-06,7.77E-06,6.69E-06,9.82E-06,1.28E-05,1.69E-05,0,6.21E-06,0,0,7.71E-06,7.66E-06,1.32E-05,0,7.20E-06,1.16E-05,3.51E-06,8.37E-06
NIPAL3,1.43E-05,1.88E-05,1.81E-05,1.82E-06,8.18E-06,2.24E-05,1.69E-05,2.16E-05,0,0,2.91E-05,1.11E-05,1.15E-05,3.97E-05,4.52E-05,1.15E-05,2.32E-05,0,3.35E-05
LAS1L,4.75E-06,1.50E-05,2.07E-05,9.12E-06,0,6.41E-06,1.97E-05,2.16E-05,1.24E-05,3.02E-05,3.87E-05,1.37E-05,1.53E-05,6.62E-06,1.51E-05,1.30E-05,0,1.40E-05,1.67E-05
ENPP4,4.75E-06,5.63E-06,2.33E-05,3.65E-06,9.82E-06,0,8.43E-06,2.47E-05,3.11E-05,0,1.45E-05,1.37E-05,3.83E-06,0,0,2.31E-05,1.16E-05,1.05E-05,3.91E-05
CFTR,0,3.76E-06,0.00020713,0,0,3.21E-06,0,0,0,1.01E-05,1.45E-05,2.57E-06,0,0,0,2.88E-06,0,7.01E-06,0.000206444
ANKIB1,2.85E-05,4.51E-05,4.40E-05,7.29E-06,1.96E-05,4.81E-05,5.20E-05,3.09E-05,3.11E-05,8.04E-05,4.36E-05,1.97E-05,3.83E-05,5.29E-05,6.02E-05,2.88E-05,3.49E-05,2.45E-05,4.46E-05
CYP51A1,4.75E-05,2.44E-05,0.000139813,0.000174467,3.44E-05,2.56E-05,4.92E-05,7.10E-05,3.73E-05,5.03E-05,3.39E-05,3.86E-05,6.51E-05,2.65E-05,3.01E-05,2.31E-05,5.81E-05,2.10E-05,7.81E-05
KRIT1,9.50E-06,3.00E-05,2.59E-05,8.51E-06,2.78E-05,3.85E-05,4.22E-05,5.56E-05,1.24E-05,4.02E-05,2.91E-05,2.31E-05,5.75E-05,2.65E-05,0,1.87E-05,2.32E-05,1.75E-05,1.95E-05
BAD,3.33E-05,3.19E-05,4.40E-05,2.74E-05,1.96E-05,5.77E-05,3.51E-05,4.32E-05,6.21E-05,5.03E-05,4.36E-05,1.89E-05,6.51E-05,3.97E-05,1.51E-05,1.30E-05,1.16E-05,3.51E-06,0.000125541
LAP3,8.08E-05,6.20E-05,4.40E-05,8.57E-05,0.000111314,0.000115401,0.00024588,0.000219301,3.11E-05,0.000140779,0.000116231,0.000153379,0.000118784,3.31E-05,3.01E-05,0.000123923,6.97E-05,0.000115731,3.91E-05
CD99,0.00015206,0.000424412,5.96E-05,8.63E-05,0.000112951,0.000304529,0.000370928,0.000333585,0.000335554,0.000331835,0.000193719,0.000253633,0.000494295,0.000258099,0.000120408,0.000113836,3.49E-05,0.000164828,0.00013391
HS3ST1,1.43E-05,5.63E-06,7.51E-05,6.08E-07,4.91E-06,3.21E-06,5.06E-05,7.72E-05,1.24E-05,0,1.94E-05,1.71E-05,3.83E-06,0,0,5.76E-06,1.16E-05,0,1.12E-05
MAD1L1,9.50E-06,9.39E-06,2.07E-05,1.09E-05,9.82E-06,0,8.43E-06,2.47E-05,6.21E-06,0,4.36E-05,3.51E-05,1.92E-05,4.63E-05,4.52E-05,2.31E-05,0,2.10E-05,1.39E-05
LASP1,3.33E-05,0.000174648,0.000173472,3.65E-05,0.000139143,0.000105784,7.73E-05,0.000132816,8.08E-05,0.000261446,0.000217934,0.000157664,0.000122616,0.000138976,0.00031607,0.000106631,0.000197615,7.01E-05,0.000167387
TMEM176A,4.75E-06,9.95E-05,7.25E-05,0.000881454,6.06E-05,1.92E-05,2.39E-05,0,6.21E-06,5.03E-05,9.20E-05,0.000157664,0.000218409,0,0,5.62E-05,0,2.45E-05,0.00040173
M6PR,5.23E-05,2.82E-05,3.62E-05,1.46E-05,0.0001948,2.89E-05,5.62E-05,4.32E-05,5.59E-05,7.04E-05,0.00013076,0.000193652,3.07E-05,5.96E-05,0.00016556,0.000128245,0.00018599,0.000136773,5.30E-05
ICA1,4.75E-06,0,3.11E-05,4.26E-06,6.55E-06,8.98E-05,5.34E-05,8.96E-05,0,0,2.42E-05,1.80E-05,3.83E-06,0,9.03E-05,1.44E-05,0,7.01E-06,0.00013391
DBNDD1,9.50E-06,0,4.40E-05,0,0,0,1.41E-06,3.09E-06,6.21E-06,0,9.69E-06,1.71E-06,0,6.62E-06,0,1.44E-06,0,0,1.39E-05
ALS2,1.43E-05,2.07E-05,1.04E-05,9.12E-06,4.91E-06,2.24E-05,1.41E-05,2.16E-05,6.21E-06,1.01E-05,0,3.43E-06,7.66E-06,2.65E-05,1.51E-05,5.76E-06,0,7.01E-06,8.37E-06
CASP10,9.03E-05,3.76E-06,2.07E-05,1.22E-06,3.27E-05,3.21E-05,3.09E-05,1.24E-05,0,1.01E-05,0,2.48E-05,0,1.99E-05,3.01E-05,1.87E-05,0,1.05E-05,8.37E-06
CFLAR,0.000432421,0.000127699,0.000235611,3.77E-05,0.000206259,0.000336585,0.00023745,0.000213123,9.32E-05,0.000110612,0.000125917,0.000202221,0.000126447,0.000350749,0.000270917,0.000250727,0.000302234,0.000196391,8.93E-05
TFPI,9.50E-06,0.000129577,0.000103565,0.000140425,2.13E-05,0.000746898,0.000522671,8.65E-05,3.11E-05,0.000211168,4.84E-06,1.80E-05,0.000130279,2.65E-05,0,1.73E-05,0,4.21E-05,8.37E-06
NDUFAF7,4.75E-06,5.63E-06,7.77E-06,5.47E-06,3.27E-06,6.41E-06,9.84E-06,9.27E-06,0,4.02E-05,0,9.43E-06,3.83E-06,0,0,1.30E-05,0,7.01E-06,1.67E-05
RBM5,2.38E-05,3.94E-05,5.18E-05,6.08E-06,2.95E-05,6.41E-05,7.03E-05,6.80E-05,6.84E-05,2.01E-05,1.45E-05,3.17E-05,3.45E-05,1.99E-05,4.52E-05,4.03E-05,0,4.91E-05,6.42E-05
SLC7A2,9.50E-06,2.07E-05,3.88E-05,0.000108814,1.64E-06,0,9.84E-06,9.27E-06,0.000553042,6.03E-05,0,8.57E-07,3.45E-05,0,0,1.01E-05,0,0,2.79E-06
ARF5,1.90E-05,8.08E-05,8.54E-05,3.83E-05,5.24E-05,7.69E-05,7.17E-05,7.41E-05,6.21E-05,8.04E-05,6.78E-05,9.00E-05,5.36E-05,3.97E-05,0.000180611,9.94E-05,0.000162741,8.07E-05,9.21E-05
SARM1,0,9.39E-06,1.29E-05,2.43E-06,6.22E-05,3.21E-06,5.62E-06,1.24E-05,6.21E-06,1.01E-05,0,1.20E-05,1.53E-05,6.62E-06,1.51E-05,5.76E-06,0,0,3.07E-05
POLDIP2,3.33E-05,4.51E-05,7.51E-05,7.78E-05,4.26E-05,5.77E-05,3.51E-05,1.85E-05,4.97E-05,3.02E-05,3.87E-05,3.17E-05,3.83E-05,2.65E-05,4.52E-05,3.31E-05,1.16E-05,3.86E-05,5.30E-05
PLXND1,9.50E-06,4.32E-05,5.18E-06,6.08E-07,8.84E-05,0.00025324,0.000123643,0.000219301,1.24E-05,0.000120667,3.87E-05,0.000100254,3.45E-05,3.97E-05,1.51E-05,4.32E-05,3.49E-05,3.86E-05,2.79E-06
AK2,3.80E-05,8.64E-05,8.80E-05,7.48E-05,3.77E-05,5.77E-05,6.32E-05,7.72E-05,5.59E-05,0.000110612,0.000101702,8.23E-05,4.21E-05,4.63E-05,4.52E-05,7.93E-05,2.32E-05,6.31E-05,8.93E-05
CD38,0.000270857,0,2.59E-06,6.08E-07,8.02E-05,2.24E-05,2.81E-06,0,6.21E-06,1.01E-05,1.94E-05,2.31E-05,0,5.96E-05,3.01E-05,1.59E-05,2.32E-05,7.01E-06,0
FKBP4,1.90E-05,3.38E-05,0.000103565,3.40E-05,3.27E-05,5.77E-05,3.37E-05,6.18E-05,0.000118065,9.05E-05,4.36E-05,6.17E-05,3.45E-05,2.65E-05,0.000150509,2.59E-05,1.16E-05,5.96E-05,7.53E-05
KDM1A,2.38E-05,1.69E-05,1.81E-05,7.29E-06,1.15E-05,1.92E-05,2.81E-05,2.47E-05,1.86E-05,1.01E-05,1.45E-05,1.97E-05,1.53E-05,6.62E-06,4.52E-05,2.02E-05,1.16E-05,1.40E-05,4.46E-05
RBM6,3.80E-05,3.00E-05,3.62E-05,4.26E-06,2.62E-05,2.89E-05,5.76E-05,4.02E-05,7.46E-05,5.03E-05,2.91E-05,4.20E-05,3.45E-05,5.29E-05,3.01E-05,3.60E-05,1.16E-05,7.01E-05,6.14E-05
RECQL,2.85E-05,8.26E-05,2.07E-05,1.82E-06,2.62E-05,7.37E-05,5.90E-05,5.87E-05,2.49E-05,7.04E-05,4.84E-05,5.74E-05,4.60E-05,4.63E-05,1.51E-05,4.76E-05,5.81E-05,3.86E-05,2.51E-05
VPS50,0,1.13E-05,1.55E-05,7.29E-06,3.27E-06,6.41E-06,2.81E-05,1.24E-05,1.24E-05,4.02E-05,2.91E-05,1.80E-05,1.92E-05,0,3.01E-05,1.44E-05,0,0,5.58E-06
HSPB6,0,0.000107042,2.59E-06,1.22E-06,0,3.21E-06,1.12E-05,6.18E-06,0.000615182,6.03E-05,0,1.71E-06,0.000375511,0,0,0,1.16E-05,3.51E-06,2.79E-06
NDUFAB1,7.13E-05,9.20E-05,0.000124278,0.000114285,6.22E-05,0.000102578,0.000119427,0.000142082,0.000130493,0.00016089,0.000154975,6.34E-05,8.43E-05,4.63E-05,0.000150509,6.20E-05,0.00010462,8.07E-05,8.09E-05
PDK4,1.90E-05,6.20E-05,4.92E-05,0.000408508,0.001106595,0.000794981,0.000529696,0.000142082,0.002758998,0.000150834,2.42E-05,0.000219358,0.000245231,2.65E-05,0,8.07E-05,3.49E-05,0.000133266,6.42E-05
SLC25A13,0,3.38E-05,3.11E-05,9.67E-05,1.96E-05,3.21E-05,7.03E-06,2.47E-05,1.24E-05,2.01E-05,2.42E-05,2.14E-05,1.53E-05,6.62E-06,0,1.30E-05,0,3.51E-05,1.39E-05
ST7,1.43E-05,2.44E-05,1.29E-05,2.37E-05,3.27E-05,9.62E-06,3.37E-05,1.85E-05,1.24E-05,2.01E-05,9.69E-06,9.43E-06,2.68E-05,0,0,1.44E-05,1.16E-05,0,5.58E-06
CDC27,1.90E-05,6.20E-05,1.81E-05,1.22E-05,3.77E-05,0.000105784,6.04E-05,7.41E-05,4.97E-05,6.03E-05,5.81E-05,3.94E-05,3.45E-05,3.31E-05,3.01E-05,4.32E-05,3.49E-05,4.21E-05,1.39E-05
HCCS,4.75E-06,1.31E-05,1.81E-05,9.73E-06,9.82E-06,1.28E-05,1.83E-05,1.85E-05,1.86E-05,0,4.84E-06,1.97E-05,1.92E-05,0,3.01E-05,2.45E-05,1.16E-05,0,1.67E-05
UPF1,2.85E-05,3.94E-05,4.40E-05,9.12E-06,2.29E-05,5.13E-05,2.53E-05,4.32E-05,6.21E-05,5.03E-05,2.91E-05,2.83E-05,3.07E-05,3.97E-05,1.51E-05,2.45E-05,1.16E-05,2.81E-05,3.91E-05
SKAP2,2.85E-05,4.51E-05,5.18E-06,9.12E-06,0.000153876,0.00016669,0.000106782,8.34E-05,4.97E-05,6.03E-05,0.000111388,0.000143954,1.92E-05,0.000105887,3.01E-05,9.08E-05,0.00010462,0.000161321,6.70E-05
SLC25A5,0.000156812,0.000206572,0.000235611,0.000267476,0.000204622,0.000144251,0.000182654,0.00017297,0.000229916,0.000472614,0.000740974,0.000327324,0.000195419,0.000211773,0.000135459,0.000413555,0.000278985,0.000280559,0.000234342
MCUB,3.33E-05,1.31E-05,0,2.43E-06,1.80E-05,3.21E-06,1.69E-05,3.09E-05,0,0,3.87E-05,5.48E-05,3.83E-05,5.29E-05,6.02E-05,5.33E-05,2.32E-05,8.77E-05,8.37E-06
POLR2J,8.08E-05,5.82E-05,5.70E-05,5.65E-05,5.89E-05,6.09E-05,4.64E-05,6.18E-05,0.000111851,8.04E-05,0.000111388,5.74E-05,5.75E-05,6.62E-05,7.53E-05,6.05E-05,6.97E-05,8.42E-05,8.37E-05
THSD7A,0,3.76E-06,1.04E-05,6.08E-07,0,2.89E-05,7.73E-05,0.000120461,0,0,0,8.57E-07,0,0,0,1.44E-06,0,0,0
LIG3,1.43E-05,1.50E-05,3.11E-05,6.69E-06,8.18E-06,1.28E-05,1.97E-05,9.27E-06,1.86E-05,4.02E-05,2.42E-05,1.20E-05,1.92E-05,1.32E-05,6.02E-05,8.65E-06,0,7.01E-06,3.35E-05
RPAP3,2.85E-05,3.57E-05,2.85E-05,6.08E-06,2.29E-05,2.56E-05,3.09E-05,6.18E-06,4.97E-05,2.01E-05,2.91E-05,2.14E-05,1.92E-05,1.99E-05,1.51E-05,3.89E-05,1.16E-05,1.05E-05,1.67E-05
ACSM3,4.75E-06,3.76E-06,4.40E-05,8.33E-05,1.64E-06,0.000243623,3.51E-05,3.09E-06,6.21E-06,0,0,3.43E-06,7.66E-06,6.62E-06,0,2.88E-06,1.16E-05,7.01E-06,2.51E-05
REXO5,0,1.88E-06,0,6.08E-07,0,0,2.81E-06,1.54E-05,0,0,1.94E-05,0,0,6.62E-06,0,1.44E-06,0,0,0
CIAPIN1,9.50E-06,2.44E-05,2.33E-05,9.73E-06,6.55E-06,1.28E-05,2.67E-05,3.71E-05,1.86E-05,4.02E-05,4.36E-05,1.71E-05,3.45E-05,2.65E-05,3.01E-05,1.44E-05,2.32E-05,1.40E-05,2.23E-05
FAM214B,4.75E-06,2.25E-05,7.77E-06,1.22E-06,1.47E-05,1.28E-05,8.43E-06,2.47E-05,3.11E-05,4.02E-05,4.84E-06,3.17E-05,7.66E-06,6.62E-06,0,2.31E-05,8.14E-05,2.10E-05,3.07E-05
COPZ2,9.50E-06,2.25E-05,2.59E-06,1.09E-05,6.55E-06,6.41E-06,8.43E-06,6.18E-06,3.73E-05,0,0,1.71E-06,6.13E-05,0,0,1.44E-06,0,7.01E-06,2.79E-06
PRKAR2B,4.75E-06,1.13E-05,1.55E-05,6.08E-07,1.64E-05,0,3.37E-05,1.54E-05,2.49E-05,1.01E-05,4.84E-06,6.85E-06,3.07E-05,0,0,2.59E-05,2.32E-05,1.05E-05,0
MSL3,2.85E-05,2.07E-05,1.29E-05,5.47E-06,1.47E-05,3.85E-05,3.37E-05,5.56E-05,0,2.01E-05,2.42E-05,2.06E-05,2.68E-05,3.97E-05,3.01E-05,2.59E-05,5.81E-05,7.01E-05,1.67E-05
CREBBP,6.18E-05,7.32E-05,0.000108743,2.01E-05,6.88E-05,7.05E-05,8.99E-05,8.34E-05,0.000118065,9.05E-05,0.000145289,7.71E-05,7.66E-05,0.000178684,0.000301019,9.65E-05,0.00010462,8.42E-05,8.09E-05
PON1,0,1.88E-06,3.11E-05,0.000421882,9.82E-06,2.89E-05,8.43E-06,0,6.21E-06,0,4.84E-06,0,0,6.62E-06,0,1.59E-05,1.16E-05,0,0
GCFC2,2.38E-05,9.39E-06,1.81E-05,1.70E-05,8.18E-06,2.24E-05,8.43E-06,2.16E-05,6.21E-06,2.01E-05,1.45E-05,6.85E-06,7.66E-06,1.32E-05,3.01E-05,2.88E-06,1.16E-05,7.01E-06,8.37E-06
WDR54,2.85E-05,1.50E-05,2.07E-05,0,1.64E-06,1.60E-05,2.95E-05,2.47E-05,6.21E-06,6.03E-05,1.45E-05,1.03E-05,3.83E-06,6.62E-06,0,1.01E-05,0,7.01E-06,8.37E-06
CROT,4.75E-06,2.63E-05,1.55E-05,1.82E-05,1.64E-06,6.41E-06,5.62E-06,1.54E-05,6.21E-06,0,4.84E-06,1.20E-05,1.53E-05,1.32E-05,0,2.88E-06,0,0,1.67E-05
ABCB4,4.75E-06,1.88E-06,0,5.11E-05,0,0,1.41E-06,0,0,0,4.84E-06,7.71E-06,3.83E-06,0,0,1.44E-05,1.16E-05,0,0
KMT2E,0.000114045,0.000101408,9.58E-05,9.12E-06,9.00E-05,8.01E-05,0.000120833,0.000182236,0.000142921,7.04E-05,9.20E-05,0.000119105,0.000114952,0.000205155,0.000135459,0.000138332,4.65E-05,0.000175349,0.000281769
RHBDD2,5.23E-05,8.83E-05,8.03E-05,2.01E-05,2.78E-05,5.45E-05,5.34E-05,7.41E-05,0,9.05E-05,3.87E-05,4.80E-05,3.45E-05,4.63E-05,4.52E-05,2.74E-05,4.65E-05,3.86E-05,4.46E-05
IBTK,4.28E-05,4.13E-05,6.47E-05,3.59E-05,3.93E-05,2.24E-05,2.95E-05,4.94E-05,4.97E-05,4.02E-05,2.42E-05,3.34E-05,4.21E-05,5.96E-05,1.51E-05,3.17E-05,4.65E-05,3.51E-05,2.51E-05
ZNF195,4.75E-06,1.31E-05,1.55E-05,3.65E-06,4.91E-06,1.28E-05,1.97E-05,9.27E-06,2.49E-05,2.01E-05,1.45E-05,1.20E-05,1.15E-05,3.97E-05,0,1.15E-05,1.16E-05,1.05E-05,2.79E-05
MYCBP2,4.75E-05,7.89E-05,3.37E-05,6.69E-06,0.000129321,3.53E-05,6.18E-05,8.03E-05,9.94E-05,3.02E-05,9.20E-05,8.31E-05,3.83E-05,0.000105887,0.000135459,9.80E-05,1.16E-05,7.72E-05,2.51E-05
FBXL3,5.23E-05,2.82E-05,5.18E-05,2.49E-05,2.13E-05,3.21E-05,5.20E-05,6.49E-05,0.000161563,6.03E-05,3.39E-05,3.51E-05,4.60E-05,3.31E-05,6.02E-05,3.17E-05,5.81E-05,1.75E-05,7.25E-05
ITGAL,2.85E-05,1.88E-06,2.59E-06,4.26E-06,6.38E-05,3.21E-06,0,0,6.21E-06,0,4.84E-05,5.40E-05,1.15E-05,0.000330896,0.000120408,3.31E-05,3.49E-05,0.00022094,0
PDK2,0,3.00E-05,2.33E-05,3.71E-05,9.82E-06,2.89E-05,2.11E-05,2.16E-05,3.73E-05,1.01E-05,4.84E-06,1.29E-05,1.92E-05,6.62E-06,4.52E-05,1.59E-05,1.16E-05,7.01E-06,7.25E-05
ITGA3,2.38E-05,3.19E-05,4.92E-05,0,0,1.28E-05,1.26E-05,4.63E-05,7.46E-05,4.02E-05,0,2.57E-06,7.66E-06,0,0,0,1.16E-05,0,6.70E-05
ZFX,5.23E-05,3.19E-05,3.88E-05,2.07E-05,3.60E-05,3.21E-05,3.09E-05,3.40E-05,1.86E-05,2.01E-05,1.45E-05,1.97E-05,4.21E-05,3.31E-05,0,3.31E-05,2.32E-05,1.05E-05,2.79E-05
LAMP2,0.00015206,0.000125821,0.000295161,0.00014164,0.000175156,0.000134634,8.01E-05,0.000114284,5.59E-05,0.000110612,6.78E-05,0.000212503,0.000107289,5.29E-05,9.03E-05,8.93E-05,4.65E-05,0.000126252,9.21E-05
GDE1,4.75E-05,6.95E-05,4.40E-05,2.55E-05,6.88E-05,4.49E-05,3.23E-05,2.78E-05,4.35E-05,0.000100556,8.23E-05,8.57E-05,5.36E-05,4.63E-05,3.01E-05,4.61E-05,3.49E-05,5.96E-05,0.000147859
REX1BD,7.13E-05,6.95E-05,2.07E-05,3.83E-05,9.66E-05,6.41E-05,5.34E-05,7.10E-05,5.59E-05,0.000100556,7.26E-05,9.25E-05,6.90E-05,9.27E-05,9.03E-05,5.33E-05,1.16E-05,8.42E-05,5.86E-05
OSBPL7,4.75E-06,3.76E-06,2.59E-06,0,8.18E-06,6.41E-06,2.81E-06,3.09E-06,0,0,0,2.57E-06,0,1.32E-05,0,1.44E-06,0,0,1.67E-05
TMEM98,9.50E-06,0.000155868,7.51E-05,2.43E-06,0,0,2.39E-05,3.09E-06,0,5.03E-05,1.45E-05,8.57E-07,0.000103457,0,0,0,0,0,0.000195285
MAP3K14,1.90E-05,5.63E-06,2.59E-05,3.65E-06,9.82E-06,6.41E-06,1.83E-05,1.85E-05,0,0,9.69E-06,1.11E-05,1.15E-05,6.62E-06,0,1.73E-05,2.32E-05,3.51E-06,1.12E-05
TMEM132A,4.75E-06,1.69E-05,5.18E-06,0,0,6.41E-06,1.41E-05,1.85E-05,0,2.01E-05,9.69E-06,1.71E-06,7.66E-06,0,0,0,0,0,5.58E-06
AP2B1,1.90E-05,5.07E-05,2.07E-05,7.90E-06,3.44E-05,5.13E-05,6.74E-05,2.47E-05,1.24E-05,1.01E-05,2.91E-05,3.34E-05,6.13E-05,1.32E-05,0.000120408,1.59E-05,2.32E-05,2.10E-05,1.39E-05
ZNF263,9.50E-06,2.82E-05,2.33E-05,5.47E-06,1.64E-05,1.92E-05,2.81E-05,4.32E-05,3.73E-05,4.02E-05,4.84E-06,8.57E-06,3.07E-05,3.31E-05,3.01E-05,1.30E-05,2.32E-05,1.40E-05,1.95E-05
CX3CL1,0,3.76E-06,8.29E-05,5.47E-06,0,0,1.26E-05,0.000142082,5.59E-05,2.01E-05,0,8.57E-07,0,0,0,0,0,3.51E-06,5.58E-06
SPATA20,2.38E-05,2.82E-05,1.55E-05,7.90E-06,2.62E-05,9.62E-06,3.37E-05,2.16E-05,1.86E-05,1.01E-05,1.45E-05,2.31E-05,4.60E-05,6.62E-06,0,2.45E-05,2.32E-05,1.40E-05,3.35E-05
TNFRSF12A,3.33E-05,0.000165258,0.000743081,1.34E-05,2.95E-05,3.85E-05,6.74E-05,6.18E-05,7.46E-05,3.02E-05,9.69E-05,2.06E-05,0.000141774,6.62E-06,1.51E-05,2.31E-05,1.16E-05,1.75E-05,3.63E-05
RALA,4.28E-05,6.57E-05,8.54E-05,1.28E-05,5.73E-05,0.000169895,0.000110997,0.000154437,2.49E-05,4.02E-05,8.23E-05,0.000160234,4.60E-05,5.29E-05,1.51E-05,0.000131127,0.000116244,7.36E-05,8.65E-05
BAIAP2L1,0.00055597,0.000595304,0.000688709,0.000165349,0.000279923,0.000355818,0.000657554,0.000534353,0.000422549,0.000633503,0.000687701,0.000502981,0.000578593,0.001131663,0.001053566,0.000935183,0.001046195,0.000715425,0.000440787
KDM7A,2.85E-05,1.13E-05,1.04E-05,3.65E-06,2.13E-05,2.56E-05,1.55E-05,1.85E-05,1.86E-05,0,1.94E-05,2.83E-05,7.66E-06,2.65E-05,3.01E-05,4.32E-05,4.65E-05,4.21E-05,0.000111592
ETV1,0,9.20E-05,1.81E-05,4.26E-06,3.27E-06,6.41E-06,2.81E-06,6.18E-06,0,0.000191057,0,1.71E-06,4.21E-05,0,0,1.44E-06,0,3.51E-06,0
AGK,0,2.07E-05,5.18E-06,6.69E-06,9.82E-06,1.60E-05,9.84E-06,9.27E-06,6.21E-06,0,4.84E-06,6.00E-06,3.83E-06,0,1.51E-05,1.01E-05,2.32E-05,3.51E-06,8.37E-06
ALDH3B1,0,1.31E-05,4.66E-05,3.04E-06,7.69E-05,3.21E-06,0,0,6.21E-06,2.01E-05,3.39E-05,7.45E-05,7.66E-06,0,0,4.47E-05,0,9.12E-05,5.02E-05
PHTF2,4.75E-06,4.13E-05,2.59E-06,2.43E-06,2.46E-05,2.56E-05,5.62E-06,6.18E-06,1.24E-05,0,2.42E-05,2.14E-05,2.30E-05,0,6.02E-05,1.44E-05,1.16E-05,0,1.39E-05
FARP2,1.90E-05,2.44E-05,1.04E-05,4.26E-06,2.95E-05,1.92E-05,1.12E-05,6.18E-06,1.86E-05,6.03E-05,1.94E-05,1.20E-05,3.83E-06,0,0,2.31E-05,5.81E-05,1.05E-05,5.86E-05
USH1C,0,1.88E-06,5.96E-05,0,0,0,2.81E-06,0,0,0,4.84E-06,8.57E-07,0,0,0,0,0,0,0.000108802
GGCT,3.33E-05,5.63E-05,3.88E-05,2.07E-05,1.31E-05,3.85E-05,4.07E-05,5.25E-05,2.49E-05,4.02E-05,0.000101702,4.03E-05,4.98E-05,0,3.01E-05,3.46E-05,0,2.10E-05,5.86E-05
DBF4,2.85E-05,7.51E-06,0,6.08E-07,9.82E-06,1.92E-05,1.12E-05,2.16E-05,6.21E-06,0,1.94E-05,6.00E-06,3.83E-06,2.65E-05,4.52E-05,8.65E-06,2.32E-05,3.51E-06,8.37E-06
TBXA2R,0,2.25E-05,0,0,1.64E-06,7.69E-05,1.69E-05,2.78E-05,3.73E-05,1.01E-05,0,3.43E-06,6.13E-05,0,1.51E-05,0,0,0,0
IFRD1,4.75E-05,6.01E-05,3.37E-05,3.65E-06,2.13E-05,9.62E-06,2.53E-05,3.71E-05,8.08E-05,4.02E-05,5.81E-05,3.43E-05,1.15E-05,4.63E-05,7.53E-05,2.88E-05,4.65E-05,3.51E-05,4.74E-05
COX10,1.43E-05,9.39E-06,1.55E-05,6.08E-06,9.82E-06,1.60E-05,1.26E-05,1.24E-05,1.86E-05,1.01E-05,4.84E-06,1.03E-05,1.53E-05,6.62E-06,1.51E-05,1.30E-05,0,7.01E-06,2.79E-06
GTF2IRD1,0,2.07E-05,1.55E-05,0,1.64E-06,6.41E-06,7.03E-06,1.24E-05,1.24E-05,0,9.69E-06,5.14E-06,0,0,0,4.32E-06,0,0,1.39E-05
PAF1,2.38E-05,2.07E-05,3.88E-05,1.22E-05,1.80E-05,4.17E-05,4.07E-05,3.40E-05,1.86E-05,3.02E-05,6.78E-05,2.66E-05,2.68E-05,1.99E-05,0,1.87E-05,3.49E-05,2.45E-05,1.39E-05
VPS41,2.85E-05,4.13E-05,6.99E-05,1.46E-05,5.57E-05,4.81E-05,4.64E-05,1.54E-05,3.73E-05,2.01E-05,3.87E-05,5.40E-05,4.21E-05,5.29E-05,3.01E-05,4.76E-05,5.81E-05,5.61E-05,3.35E-05
