index,B cells,CAFs,Cholangiocyte,Hepatocytes,Kupffer cells,LSEC,LVEC,LVECm,Myofibroblasts,Pericytes,Proliferation,SAMs,Stellate cells,T cells_far,T cells_tumor,TM1,cDC1,cDC2,Carcinoma
LRRC37B,4.75E-06,1.69E-05,1.04E-05,2.43E-06,6.55E-06,1.60E-05,8.43E-06,6.18E-06,1.86E-05,4.02E-05,2.42E-05,1.46E-05,3.83E-06,1.99E-05,0,2.02E-05,3.49E-05,1.05E-05,8.37E-06
DDX51,0,1.31E-05,2.85E-05,1.22E-06,1.96E-05,9.62E-06,1.41E-05,3.40E-05,3.11E-05,0,4.84E-06,6.00E-06,7.66E-06,1.32E-05,0,1.73E-05,3.49E-05,3.51E-06,8.37E-06
NOMO2,0.000171068,6.95E-05,4.14E-05,3.83E-05,3.27E-05,8.01E-05,8.43E-05,0.000111195,4.97E-05,7.04E-05,4.36E-05,7.71E-05,8.43E-05,0.000105887,0.000120408,6.77E-05,4.65E-05,4.21E-05,7.81E-05
SIGIRR,3.33E-05,3.00E-05,4.40E-05,7.36E-05,1.96E-05,2.56E-05,6.46E-05,4.94E-05,1.86E-05,3.02E-05,4.36E-05,1.63E-05,3.45E-05,9.93E-05,6.02E-05,3.89E-05,1.16E-05,4.56E-05,7.25E-05
IFITM2,0.000247098,0.00134272,0.00026668,0.000367171,0.00030284,0.001269406,0.002415245,0.002338181,0.001031517,0.001970899,0.000397123,0.000255347,0.001839235,0.001541974,0.000737496,0.000394823,3.49E-05,0.000729453,0.000513321
TNFAIP2,3.80E-05,3.57E-05,0.00041685,2.43E-06,0.000257005,2.89E-05,4.07E-05,6.49E-05,1.24E-05,2.01E-05,2.42E-05,0.000173944,8.05E-05,6.62E-06,0,8.36E-05,5.81E-05,0.000210419,0
PGBD2,0,0,5.18E-06,6.08E-07,1.64E-06,6.41E-06,2.81E-06,3.09E-06,1.24E-05,0,0,0,3.83E-06,0,0,4.32E-06,1.16E-05,3.51E-06,5.58E-06
TCEAL9,9.50E-06,0.000251643,0.000137224,4.26E-06,3.60E-05,0.000128223,0.000202324,0.000101929,0.000173991,0.000271501,4.84E-05,5.57E-05,0.000275885,0,0,1.44E-05,0,2.45E-05,6.14E-05
RAB11B,7.60E-05,6.76E-05,7.51E-05,3.53E-05,5.07E-05,5.77E-05,7.59E-05,0.000105017,0.000142921,0.000130723,8.23E-05,6.26E-05,4.21E-05,3.31E-05,3.01E-05,5.62E-05,3.49E-05,6.31E-05,6.70E-05
UBALD2,0.000142556,2.63E-05,9.84E-05,2.01E-05,5.40E-05,6.41E-05,4.36E-05,5.56E-05,1.86E-05,2.01E-05,0.00017919,8.91E-05,3.45E-05,0.000178684,0.000240815,0.000122482,5.81E-05,0.000178856,6.42E-05
