gene,1_non_malignant_core,2_non_malignant_border,3_malignant_border,4_malignant_core,5_malignant_collagen
A1BG,0.000869347,0.000881139,0.000178342,5.67E-05,1.64E-05
A1CF,0.000695901,0.00053209,0.000201522,8.53E-05,8.40E-05
A2M,0.002756017,0.002676699,0.000488872,0.000403054,0.000350853
A2ML1,1.93E-05,2.71E-06,1.81E-05,5.08E-06,0
A4GALT,0,2.71E-06,1.52E-05,1.99E-06,1.38E-05
AAAS,0.000116285,5.84E-05,1.48E-05,1.73E-05,1.50E-06
AACS,3.43E-05,0,5.00E-05,1.98E-05,5.29E-05
AADAC,0.000194617,8.56E-05,5.92E-05,2.28E-05,2.20E-05
AADACL2,2.19E-06,0,0,0,0
AADACL3,0,0,0,0,0
AADAT,4.39E-06,1.45E-05,1.94E-06,9.84E-06,6.14E-06
AAGAB,1.80E-05,5.43E-06,2.43E-05,2.27E-05,9.15E-06
AAK1,0.000224388,0.000143283,0.000147054,0.000143596,0.000151583
AAMDC,3.85E-05,2.24E-05,3.94E-05,4.17E-05,3.03E-05
AAMP,2.19E-05,2.73E-05,4.00E-05,9.82E-05,3.98E-05
AANAT,0,0,0,0,0
AAR2,0,8.94E-06,3.87E-06,1.11E-05,6.14E-06
AARD,0,1.14E-05,6.45E-07,3.93E-06,8.75E-06
AARS1,2.62E-05,6.11E-05,5.16E-06,2.20E-05,6.14E-06
AARS2,9.17E-06,6.34E-05,1.79E-05,2.15E-05,6.08E-05
AASDH,3.29E-06,8.94E-06,1.62E-05,4.39E-05,9.26E-06
AASDHPPT,4.61E-05,8.84E-06,5.04E-05,1.92E-05,7.90E-05
AASS,0.000199485,8.22E-05,7.63E-06,2.26E-05,1.23E-05
AATK,1.81E-05,7.03E-07,1.29E-06,3.65E-06,1.50E-06
ABAT,0.000251485,0.000172328,0.000141641,7.84E-05,3.95E-05
ABCA1,0.000193224,0.00021475,0.000126689,0.000264849,0.000157074
ABCA10,9.37E-05,6.05E-05,2.54E-05,2.12E-05,1.08E-05
ABCA12,0,0,0,0,0
ABCA13,0,0,6.45E-07,2.73E-06,0
ABCA2,1.19E-05,2.27E-05,4.31E-05,4.58E-05,1.18E-05
ABCA3,3.61E-06,1.41E-06,1.55E-05,1.65E-05,1.38E-05
ABCA4,2.30E-05,0,6.45E-07,1.35E-06,0
ABCA5,7.33E-05,7.09E-05,3.19E-05,7.19E-05,5.56E-05
ABCA6,0.000230068,0.000129106,2.91E-05,3.14E-05,1.67E-05
ABCA7,3.61E-06,8.34E-06,1.46E-05,8.98E-06,0
ABCA8,0.000473188,0.000590014,0.000624826,0.000289344,0.000691735
ABCA9,8.39E-05,8.05E-05,8.92E-06,1.39E-05,3.69E-05
ABCB1,0.000127021,7.67E-05,4.07E-05,7.65E-05,2.44E-05
ABCB10,2.55E-05,7.64E-06,2.78E-05,1.26E-05,7.76E-06
ABCB11,0.000115231,9.98E-05,1.10E-05,1.85E-05,0
ABCB4,0.000181909,0.000104768,2.98E-05,2.71E-06,1.50E-06
ABCB5,0,0,0,0,0.000118589
ABCB6,8.08E-06,3.52E-06,5.75E-05,1.15E-05,0
ABCB7,1.37E-05,4.51E-05,1.79E-05,2.51E-05,3.01E-06
ABCB8,1.78E-05,7.03E-07,1.48E-05,4.17E-06,8.75E-06
ABCB9,1.83E-05,4.21E-05,1.04E-05,4.92E-06,2.62E-05
ABCC1,9.24E-06,3.47E-05,1.41E-05,1.54E-05,9.15E-06
ABCC10,2.19E-06,0,4.94E-06,1.85E-05,6.02E-06
ABCC11,4.76E-05,8.16E-05,6.45E-07,3.34E-06,1.50E-06
ABCC12,0,0,0,0,0
ABCC2,0.000214858,0.000112095,1.91E-05,1.31E-06,1.50E-06
ABCC3,0.00026267,0.000115131,8.25E-05,0.000110423,4.19E-05
ABCC4,0,7.03E-06,2.17E-05,7.17E-06,3.23E-05
ABCC5,2.19E-06,1.13E-05,1.77E-05,4.97E-05,2.61E-05
ABCC6,0.000105088,4.63E-05,5.05E-06,2.57E-05,8.75E-06
ABCC8,0,0,0,6.76E-07,0
ABCC9,0.000129449,7.40E-05,3.24E-05,1.08E-05,5.21E-05
ABCD1,4.70E-06,7.03E-07,9.71E-06,1.90E-05,9.38E-06
ABCD2,0,0,0,0,0
ABCD3,0.000167123,9.14E-05,4.20E-05,0.00010417,6.99E-05
ABCD4,2.47E-05,1.66E-05,3.83E-05,2.92E-05,6.56E-05
ABCE1,8.57E-05,8.40E-05,0.000179135,7.39E-05,4.45E-05
ABCF1,0.000157837,0.000151257,0.000116551,0.000116503,8.94E-05
ABCF2,1.51E-05,8.94E-06,1.70E-05,2.15E-05,6.14E-06
ABCF3,2.64E-05,1.34E-05,2.26E-05,4.25E-05,7.76E-06
ABCG1,0.000187518,0.000221986,0.000412863,0.00023133,0.000505436
ABCG2,2.12E-05,6.33E-05,1.83E-06,3.65E-06,0
ABCG4,5.03E-06,0,6.45E-07,0,0
ABCG5,2.48E-05,1.77E-05,2.58E-06,2.39E-06,0
ABCG8,5.63E-06,1.41E-06,6.45E-07,0,0
ABHD1,4.00E-05,1.41E-06,1.47E-05,8.65E-06,1.50E-06
ABHD10,0,4.12E-06,1.39E-05,1.35E-05,1.50E-06
ABHD11,1.10E-06,4.61E-05,2.99E-05,2.89E-05,1.50E-06
ABHD12,2.90E-05,7.03E-05,5.35E-05,7.47E-05,2.26E-05
ABHD12B,0,0,0,6.76E-07,0
ABHD13,9.09E-06,6.23E-06,3.15E-05,4.59E-05,6.84E-05
ABHD14A,8.14E-06,6.33E-06,1.99E-05,1.37E-05,0
ABHD14A-ACY1,9.54E-05,6.72E-05,4.97E-05,1.61E-05,6.02E-06
ABHD15,4.61E-05,2.11E-05,1.68E-05,3.15E-05,1.96E-05
ABHD16A,1.55E-05,1.24E-05,4.76E-05,5.36E-05,3.03E-05
ABHD17A,5.80E-06,1.28E-05,1.54E-05,2.64E-05,1.95E-05
ABHD17B,8.64E-06,7.64E-06,8.62E-05,1.22E-05,2.55E-05
ABHD17C,3.29E-06,2.71E-06,9.46E-06,4.22E-05,0
ABHD18,4.93E-05,2.43E-05,8.23E-05,7.32E-05,0.000152779
ABHD2,0.000325512,0.000441389,0.000185072,0.000298875,8.35E-05
ABHD3,3.18E-05,4.25E-05,3.20E-05,1.16E-05,1.24E-05
ABHD4,6.13E-06,7.03E-07,2.58E-06,8.46E-06,6.26E-06
ABHD5,2.30E-05,9.85E-06,1.97E-05,2.37E-05,4.51E-06
ABHD6,0.000144115,2.79E-05,1.46E-05,2.13E-05,3.13E-06
ABHD8,8.14E-06,3.42E-06,1.22E-05,4.41E-06,0
ABI1,2.40E-05,8.24E-05,4.03E-05,0.000106124,4.64E-05
ABI2,9.57E-05,0.000232333,0.000190246,9.02E-05,0.000154661
ABI3,0,2.71E-06,3.12E-06,7.75E-06,0
ABI3BP,1.93E-05,3.42E-06,2.53E-05,1.43E-05,9.92E-05
ABITRAM,1.67E-05,3.52E-06,6.23E-06,1.22E-05,4.63E-06
ABL1,2.64E-05,1.41E-05,4.27E-05,4.44E-05,5.91E-05
ABL2,8.37E-05,3.59E-05,9.52E-05,7.95E-05,0.000296421
ABLIM1,0.000239064,0.000155573,0.000258869,0.000252279,3.71E-05
ABLIM2,0,0,4.52E-06,9.20E-06,4.51E-06
ABLIM3,0.000134586,9.66E-05,3.83E-05,1.19E-05,3.13E-06
ABR,6.40E-05,0.0001097,3.89E-05,0.000123863,2.11E-05
ABRA,0,0,0,0,0
ABRACL,1.03E-05,7.03E-07,1.06E-05,3.70E-05,3.08E-05
ABRAXAS1,2.51E-06,1.27E-05,2.12E-05,1.49E-05,0
ABRAXAS2,2.82E-05,6.83E-06,9.46E-06,6.76E-07,1.63E-05
ABT1,6.89E-06,1.14E-05,1.67E-05,1.73E-05,9.26E-06
ABTB1,1.56E-05,1.41E-05,1.31E-05,4.10E-05,2.51E-05
ABTB2,3.07E-05,6.93E-06,3.76E-06,9.84E-06,1.50E-05
AC002310.13,2.87E-05,5.63E-06,3.26E-05,3.84E-05,7.52E-06
AC002365.1,0,0,0,0,0
AC002398.9,7.54E-06,1.54E-05,9.71E-06,2.71E-06,1.18E-05
AC002472.1,0,0,0,0,5.78E-05
AC002472.13,2.55E-05,1.21E-05,1.10E-05,4.20E-06,3.01E-06
AC002985.3,7.93E-05,9.67E-05,0.000298881,3.35E-05,0.0001185
AC003002.4,0,2.71E-06,6.34E-06,9.93E-06,0
AC003002.6,0,0,3.76E-06,1.47E-06,6.26E-06
AC003005.4,0,0,0,0,0
AC003006.7,2.50E-05,1.32E-05,1.36E-05,2.27E-05,1.35E-05
AC003101.1,7.53E-06,2.13E-05,0,0,0
AC004076.7,0,0,6.45E-07,0,0
AC004076.9,0,1.07E-05,4.41E-06,5.67E-06,0
AC004381.6,0,1.42E-05,1.29E-06,2.03E-06,1.03E-05
AC004466.1,0,7.03E-07,0,0,0
AC005003.1,2.51E-06,1.99E-05,9.71E-06,1.13E-05,3.13E-06
AC005008.2,0,0,0,0,0
AC005481.5,0,0,0,0,6.02E-06
AC006116.20,0,0,6.45E-07,0,0
AC006455.1,5.48E-06,0,0,0,0
AC006486.9,1.91E-05,3.91E-05,2.58E-06,1.35E-05,1.67E-05
AC006538.4,5.63E-06,9.75E-06,7.52E-06,1.42E-05,1.80E-05
AC006967.1,0,0,0,0,0
AC007040.11,4.09E-05,2.61E-05,3.93E-05,3.17E-05,7.64E-06
AC007952.5,6.73E-06,0,0,1.35E-06,0
AC008060.7,0,0,0,5.95E-06,0
AC008132.1,1.10E-06,0,0,0,0
AC008132.13,0,2.11E-06,1.34E-05,2.94E-06,0
AC008271.1,0,0,0,0,0
AC008394.1,2.51E-06,1.41E-06,2.58E-06,4.41E-06,0
AC009365.3,3.23E-05,0,0,1.47E-06,0
AC010336.1,1.37E-05,0,9.06E-06,0,0
AC010536.1,0,7.03E-07,0,6.76E-07,0
AC010547.9,8.08E-06,1.34E-05,1.29E-06,1.47E-06,1.50E-06
AC010646.3,2.19E-06,0,2.47E-06,0,3.01E-06
AC011239.1,0,0,0,0,0
AC011294.3,0,0,0,0,0
AC011484.1,0,0,6.45E-07,0,0
AC011530.4,1.07E-05,2.42E-05,4.41E-06,1.93E-05,1.35E-05
AC011997.1,4.70E-06,2.71E-06,5.59E-06,4.88E-06,0
AC012123.1,0,0,6.45E-07,0,0
AC013269.5,0,0,0,0,0
AC013449.1,5.32E-05,4.12E-05,4.88E-05,5.40E-05,4.09E-05
AC015688.3,1.10E-06,0,6.45E-07,1.06E-05,0
AC016757.3,0,0,0,6.76E-07,0
AC016885.1,0,0,0,0,0
AC017104.2,0,0,0,0,0
AC018816.3,0,0,2.78E-05,3.86E-06,1.50E-06
AC019171.1,0,0,0,0,0
AC021218.2,0,9.94E-06,1.83E-06,0,0
AC022431.2,1.06E-05,1.06E-05,0,0,1.50E-06
AC023590.1,2.51E-06,2.06E-05,1.15E-05,5.08E-06,0
AC024592.12,5.97E-05,0.000109071,0.000117669,0.000143905,0.000152948
AC024940.1,1.10E-06,0,0,2.39E-06,0
AC025263.3,0,0,0,0,0
AC027307.3,0,2.71E-06,0,0,1.50E-06
AC027763.2,5.63E-06,0,3.60E-05,1.16E-05,3.13E-06
AC062017.1,0,0,1.83E-06,5.09E-06,0
AC068533.7,8.94E-05,3.81E-05,3.20E-05,5.71E-05,3.14E-05
AC069368.3,5.80E-06,1.12E-05,1.25E-05,7.92E-06,0.000109125
AC073188.1,0,7.03E-07,0,0,0
AC074091.13,0,3.76E-05,0,0,0.00011558
AC079341.1,0,0,0,5.23E-06,0
AC079354.1,1.24E-05,0,1.29E-06,7.90E-06,1.50E-06
AC090616.2,0,0,0,2.73E-06,0
AC091801.1,0,0,0,7.42E-06,0
AC093677.1,0,0,0,0,0
AC093802.1,0,7.03E-07,9.06E-06,0,0
AC097381.1,0,0,0,0,4.51E-06
AC099552.4,0,0,0,0,0
AC104057.2,2.51E-06,0,0,1.35E-06,5.78E-05
AC104532.2,0,1.14E-05,1.28E-05,1.09E-05,8.75E-06
AC104534.3,0.000167535,0.000124,8.71E-05,0.00010093,3.43E-05
AC104667.3,0,2.11E-06,6.45E-07,2.98E-06,0
AC104809.3,0,0,0,0,0
AC105020.1,0,0,0,3.50E-06,0
AC106873.4,0,0,0,0,0
AC106876.2,3.61E-06,0,1.17E-05,3.59E-05,0
AC110619.2,2.51E-06,0,0,0,1.50E-06
AC110781.3,0,0,0,0,0
AC112218.1,8.03E-05,4.68E-05,5.66E-05,4.56E-05,2.99E-05
AC112721.1,0,0,6.45E-07,0,0
AC115618.1,0,0,0,0,0
AC129492.6,0,0,9.06E-06,0,0
AC131971.1,0,2.81E-06,2.47E-06,2.39E-06,0
AC132192.1,0,0,6.88E-06,3.38E-06,1.50E-06
AC136604.1,0,0,0,0,0
AC137932.1,1.37E-05,2.11E-06,1.83E-06,4.29E-06,3.01E-06
AC139100.2,1.69E-05,0,2.58E-06,3.61E-06,3.01E-06
AC140481.2,0,1.41E-06,1.28E-05,3.86E-06,0
AC142381.1,0,0,0,0,0
AC144568.2,0,0,0,0,0
AC145676.2,0,0,0,0,0
AC211429.1,3.82E-05,3.16E-05,3.25E-05,4.10E-05,3.61E-05
AC231657.1,1.14E-05,4.76E-05,2.92E-05,8.38E-06,0
AC234791.1,0,0,0,0,0
AC239799.1,0.000629793,0.000291239,0.000153836,0.000112345,0.000141274
AC239811.2,0.000868799,0.000552726,0.000182559,0.000195898,0.00023683
AC239860.1,0.000140557,8.95E-05,4.55E-05,2.89E-05,3.58E-05
AC241585.3,5.63E-06,0,1.12E-05,1.43E-05,6.02E-06
AC241952.1,0,0,0,4.29E-06,4.51E-06
AC242842.2,0.000637129,0.000382407,0.000153893,0.00015955,0.000133723
AC242988.1,5.80E-05,0.000100574,0.000139364,0.000120146,0.000131
AC243547.1,0,2.81E-06,1.43E-05,1.04E-05,3.52E-05
AC244102.1,0,0,0,0,1.50E-06
AC244230.1,0,1.14E-05,1.15E-05,3.41E-06,0
AC244394.1,0.000925986,0.000556798,0.000132074,0.000170627,0.000136761
AC244452.1,0,0,1.29E-06,0,0
AC246785.1,0,0,0,1.31E-06,0
AC253572.1,0.000343018,0.000237864,7.73E-05,8.29E-05,0.000104972
AC253578.1,0,0,9.06E-06,0,0
ACAA1,0.000158692,9.65E-05,2.71E-05,6.52E-05,9.26E-06
ACAA2,0.000215368,0.000131088,4.49E-05,4.59E-05,2.28E-05
ACACB,0.000107122,4.63E-05,5.70E-06,1.35E-05,2.23E-05
ACAD10,3.45E-05,3.23E-05,1.46E-05,4.64E-05,2.10E-05
ACAD11,8.35E-05,0.000107567,3.42E-05,1.90E-05,1.65E-05
ACAD8,9.42E-06,4.57E-05,2.58E-06,2.20E-05,7.76E-06
ACAD9,1.10E-06,2.85E-05,1.66E-05,9.42E-06,3.13E-06
ACADL,4.14E-05,1.18E-05,6.45E-07,6.76E-07,0
ACADM,0.000133859,0.000238277,4.73E-05,8.80E-05,7.38E-05
ACADS,8.23E-05,5.67E-05,1.88E-05,2.37E-05,2.21E-05
ACADSB,0.00034607,0.000295167,8.59E-05,5.03E-05,1.80E-05
ACADVL,0.000603219,0.000223404,0.000216905,0.000113494,0.000151634
ACAN,0,0,0,0,1.50E-06
ACAP1,2.13E-05,3.29E-05,1.76E-05,9.53E-06,1.34E-05
ACAP2,5.93E-05,0.00011826,0.000159214,0.000351264,0.000101384
ACAP3,2.20E-05,1.05E-05,3.59E-05,5.51E-05,2.00E-05
ACAT1,0.000327107,0.000245113,0.000150092,6.56E-05,5.58E-05
ACAT2,4.70E-05,2.35E-05,2.90E-05,1.17E-05,1.37E-05
ACBD3,6.65E-05,4.45E-05,8.29E-05,0.000114421,0.000117143
ACBD4,4.18E-05,6.06E-05,1.57E-05,7.43E-05,1.24E-05
ACBD5,7.67E-05,5.55E-05,1.99E-05,3.27E-05,1.70E-05
ACBD7,5.63E-06,7.03E-07,0,1.47E-06,0
ACCS,3.34E-05,6.83E-06,1.94E-06,8.53E-06,1.52E-05
ACD,5.63E-06,4.12E-06,3.03E-05,1.37E-05,1.48E-05
ACE,3.67E-05,2.11E-06,1.92E-05,1.25E-05,1.33E-05
ACE2,0,0,1.29E-06,0,0
ACER1,0,0,6.45E-07,0,0
ACER2,0,0,6.45E-07,4.06E-06,1.50E-06
ACER3,2.09E-05,2.77E-05,5.70E-05,2.08E-05,9.03E-06
ACHE,1.37E-05,0,0,1.47E-06,0
ACIN1,7.01E-05,9.14E-05,8.72E-05,0.000140057,0.000111755
ACKR1,1.10E-06,0,0,0,0
ACKR2,1.53E-05,0,1.81E-05,2.03E-06,0
ACKR3,0,4.22E-06,3.23E-06,6.76E-07,2.26E-05
ACKR4,5.48E-06,9.85E-06,6.45E-07,2.03E-06,1.50E-06
ACLY,2.75E-05,4.82E-06,4.16E-05,4.97E-05,0.00025768
ACMSD,9.87E-06,1.58E-05,3.87E-06,2.98E-06,0
ACO1,0.000218475,0.000108713,3.33E-05,2.85E-05,6.14E-06
ACO2,2.90E-05,2.53E-05,6.68E-05,2.81E-05,1.95E-05
ACOD1,0,7.03E-07,0,0,0
ACOT1,1.14E-05,1.70E-05,1.29E-06,5.51E-06,0
ACOT11,5.48E-06,3.04E-05,1.58E-05,7.88E-05,1.82E-05
ACOT12,2.75E-05,2.29E-05,0,0,0
ACOT13,6.26E-05,4.38E-05,3.74E-05,5.85E-05,1.49E-05
ACOT2,8.92E-06,3.11E-05,4.30E-06,7.27E-06,0
ACOT4,0,7.03E-07,0,0,1.50E-06
ACOT7,4.39E-06,4.56E-05,0,6.15E-06,3.01E-06
ACOT8,8.62E-06,3.42E-06,3.31E-05,6.83E-06,1.23E-05
ACOT9,1.98E-05,1.42E-05,2.17E-05,1.34E-05,1.65E-05
ACOX1,0.000259466,0.00030876,0.000160807,0.000102852,0.000153696
ACOX2,3.89E-05,5.01E-05,9.35E-06,2.04E-05,1.33E-05
ACOX3,1.29E-05,1.33E-05,2.09E-05,1.78E-05,4.40E-05
ACOXL,2.09E-05,4.22E-06,1.73E-05,3.38E-05,8.31E-05
ACP1,5.76E-05,1.73E-05,5.36E-05,0.000109271,3.52E-05
ACP2,2.34E-05,3.78E-05,8.28E-06,7.71E-06,3.80E-05
ACP3,0,0,0,2.73E-06,0
ACP5,1.87E-05,2.11E-05,1.66E-05,8.97E-06,3.40E-05
ACP6,1.24E-05,1.21E-05,2.25E-05,2.11E-05,1.33E-05
ACR,0,0,0,0,0
ACRBP,0,0,0,0,0
ACRV1,0,0,0,0,0
ACSBG1,0,3.29E-05,1.10E-05,0,0
ACSF2,4.79E-05,1.49E-05,1.19E-05,5.54E-05,3.01E-06
ACSF3,5.02E-06,8.94E-06,3.87E-06,1.33E-05,7.64E-06
ACSL1,0.001025465,0.000705122,0.000172532,0.000147047,0.000198107
ACSL3,0.000124826,3.82E-05,0.000105923,0.000102755,4.43E-05
ACSL4,8.31E-06,3.74E-05,3.68E-05,5.54E-05,0.000177096
ACSL5,0.000306864,0.000355303,0.000279852,0.00048134,0.000199412
ACSL6,0,0,0,0,0
ACSM1,0,7.03E-07,0,2.98E-06,0
ACSM2A,0.001258484,0.000724332,0.000135433,0.000104746,2.35E-05
ACSM2B,0.001262186,0.000718561,0.000165746,4.84E-05,2.62E-05
ACSM3,2.68E-05,2.84E-05,3.76E-06,1.36E-05,0
ACSM4,1.10E-06,2.71E-06,0,0,0
ACSM5,0.000123635,5.63E-05,2.26E-05,1.18E-05,1.03E-05
ACSM6,8.14E-06,0,0,0,0
ACSS1,1.24E-05,7.03E-07,2.25E-05,2.28E-05,2.37E-05
ACSS2,2.68E-05,1.04E-05,4.67E-05,0.000114587,2.26E-05
ACSS3,0.000156318,3.39E-05,5.69E-05,1.84E-05,1.50E-06
ACTA1,0,0,0,1.31E-06,0
ACTA2,4.83E-05,8.50E-05,0.000140931,0.000120739,0.000964154
ACTB,0.000330192,0.000486601,0.000600615,0.000674175,0.001036245
ACTC1,0,0,0,0,1.09E-05
ACTG1,0.000700979,0.000625443,0.000720217,0.000920857,0.001593725
ACTG2,0,0,0,0,3.39E-05
ACTL10,0,0,0,6.76E-07,0
ACTL6A,0,4.19E-05,3.87E-05,5.05E-05,7.64E-06
ACTL6B,8.08E-06,0,0,0,0
ACTL7B,0,0,0,0,0
ACTL8,0,1.41E-06,0,0,0
ACTL9,0,0,0,0,0
ACTN1,7.93E-05,8.55E-05,0.000126914,0.000178101,0.000491787
ACTN2,0,0,0,0,0
ACTN4,0.000147068,0.000162035,0.000244775,0.000362399,0.000402876
ACTR10,1.81E-05,4.21E-05,4.03E-05,4.23E-05,3.17E-05
ACTR1A,1.12E-05,4.02E-05,3.29E-05,6.41E-05,0.000109843
ACTR1B,1.43E-05,7.74E-06,1.76E-05,4.51E-05,1.83E-05
ACTR2,8.47E-05,0.000155299,0.000231032,0.000268591,0.000184358
ACTR3,7.07E-05,9.71E-05,0.000178935,0.000167492,0.000116547
ACTR3B,1.49E-05,4.82E-06,1.98E-05,1.95E-05,1.18E-05
ACTR3C,4.15E-05,2.05E-05,5.61E-05,1.60E-05,6.59E-05
ACTR5,1.10E-06,4.12E-06,2.47E-06,1.21E-05,1.65E-05
ACTR6,6.73E-06,8.84E-06,4.34E-05,3.03E-05,9.38E-06
ACTR8,0,1.68E-05,1.68E-05,2.65E-05,4.75E-05
ACTRT1,0,0,0,0,0
ACTRT3,5.03E-06,2.71E-06,6.45E-07,0,0
ACVR1,2.68E-05,9.04E-06,7.05E-05,3.45E-05,2.32E-05
ACVR1B,2.90E-05,6.77E-05,6.41E-05,0.000139495,7.54E-05
ACVR1C,0,0,4.30E-06,1.61E-05,0
ACVR2A,1.25E-05,2.20E-05,6.34E-06,3.15E-05,1.79E-05
ACVR2B,3.82E-05,6.25E-05,7.63E-06,5.79E-05,2.20E-05
ACVRL1,1.26E-05,2.71E-06,1.26E-05,5.23E-05,1.23E-05
ACY3,8.32E-06,7.64E-06,1.53E-05,2.82E-06,3.01E-06
ACYP1,3.29E-06,1.37E-05,8.17E-06,3.06E-05,8.22E-05
ACYP2,3.29E-05,1.90E-05,1.06E-05,3.02E-05,3.40E-05
AD000671.6,1.28E-05,1.07E-05,1.29E-06,1.35E-06,1.50E-06
ADA,2.51E-06,3.98E-05,4.30E-06,1.47E-06,2.88E-05
ADA2,9.17E-06,1.36E-05,1.49E-05,7.90E-06,2.33E-05
ADAD1,1.10E-06,0,6.45E-07,0,0
ADAD2,0,0,0,0,0
ADAL,3.61E-06,4.79E-05,2.31E-05,2.70E-05,6.54E-05
ADAM10,0.000179125,0.000139681,0.000162331,0.000185284,0.000189759
ADAM11,0,0,0,0,0
ADAM12,0,0,4.41E-06,0,3.01E-06
ADAM15,3.61E-06,8.34E-06,9.46E-06,3.22E-05,1.03E-05
ADAM17,7.85E-05,1.51E-05,7.57E-05,6.43E-05,0.000111705
ADAM18,0,7.03E-07,0,2.73E-06,0
ADAM19,3.48E-05,1.50E-05,1.85E-05,6.36E-06,3.36E-05
ADAM21,0,7.03E-07,0,0,0
ADAM22,0,0,1.29E-06,4.29E-06,0.000117085
ADAM23,0,0,6.45E-07,0,3.01E-06
ADAM28,7.22E-06,1.41E-06,1.27E-05,1.63E-05,2.83E-05
ADAM29,2.51E-06,7.03E-07,0,3.41E-06,0
ADAM30,5.63E-06,0,0,0,0
ADAM32,1.13E-05,0,1.29E-06,0,0
ADAM33,0,0,6.45E-07,0,9.03E-06
ADAM7,0.001354184,0.00083646,0.00025453,0.000169543,0.001300884
ADAM8,1.10E-06,1.14E-05,1.04E-05,1.47E-06,1.08E-05
ADAM9,1.51E-05,6.83E-06,6.78E-05,4.26E-05,4.16E-05
ADAMDEC1,0,0,2.47E-06,1.35E-06,8.75E-06
ADAMTS1,0.000103961,5.86E-05,7.78E-05,6.48E-05,0.00012145
ADAMTS10,1.10E-06,8.24E-06,1.28E-05,5.12E-06,3.01E-06
ADAMTS12,2.51E-06,2.71E-06,1.93E-05,1.35E-06,1.22E-05
ADAMTS13,4.07E-05,1.65E-05,2.58E-06,7.34E-06,0
ADAMTS14,0,0,0,0,6.26E-06
ADAMTS15,1.10E-06,0,0,1.31E-06,4.51E-06
ADAMTS16,0,0,6.45E-07,2.73E-06,0
ADAMTS17,1.10E-06,2.11E-06,3.12E-06,4.20E-06,0
ADAMTS18,0,0,1.94E-06,1.65E-05,3.01E-06
ADAMTS2,5.22E-05,3.38E-05,0.000126357,8.09E-05,6.88E-05
ADAMTS20,0,7.03E-07,1.29E-06,0,0
ADAMTS3,0,0,3.23E-06,0,4.51E-06
ADAMTS4,5.00E-05,4.92E-06,1.66E-05,1.99E-06,7.50E-05
ADAMTS5,1.10E-06,6.93E-06,6.77E-06,1.86E-05,6.86E-05
ADAMTS6,0,1.14E-05,1.89E-05,8.07E-06,6.26E-06
ADAMTS7,0,1.07E-05,1.83E-06,1.47E-06,1.50E-06
ADAMTS8,6.13E-06,1.14E-05,1.83E-06,0,8.75E-06
ADAMTS9,7.78E-05,7.64E-06,5.21E-05,5.01E-06,2.45E-05
ADAMTSL1,0,2.11E-06,1.13E-05,2.03E-05,0
ADAMTSL2,2.43E-05,1.10E-05,3.86E-05,2.42E-05,5.02E-05
ADAMTSL3,3.96E-05,2.47E-05,2.34E-05,1.71E-05,0.000120093
ADAMTSL4,7.22E-06,3.52E-06,1.29E-06,1.47E-06,0
ADAMTSL4-AS1,3.51E-05,1.65E-05,1.36E-05,1.00E-05,1.34E-05
ADAMTSL5,0,2.71E-06,1.29E-06,7.14E-06,3.01E-06
ADAP1,6.11E-06,1.07E-05,2.80E-05,9.19E-05,6.26E-06
ADAP2,3.68E-05,1.10E-05,2.17E-05,2.94E-06,1.09E-05
ADAR,9.99E-05,6.97E-05,0.000164916,0.000107552,5.67E-05
ADARB1,5.63E-06,2.11E-06,4.29E-05,2.71E-06,2.00E-05
ADARB2,0,0,1.94E-06,5.01E-06,4.51E-06
ADAT1,0,0,0,2.71E-06,0
ADAT2,2.98E-05,3.52E-06,6.99E-06,1.48E-05,6.02E-06
ADCK1,0,2.11E-06,0,6.76E-07,1.25E-05
ADCK2,0,3.42E-06,6.99E-06,3.38E-05,4.63E-06
ADCK5,5.03E-06,1.21E-05,4.41E-06,1.94E-05,3.01E-06
ADCY1,5.77E-05,2.30E-05,2.36E-05,4.09E-06,0
ADCY10,2.02E-05,0.000141637,1.15E-05,8.89E-06,1.50E-06
ADCY2,5.63E-06,1.14E-05,0,4.04E-06,3.09E-05
ADCY4,6.11E-06,3.52E-06,4.41E-06,1.37E-05,3.13E-06
ADCY5,5.48E-06,2.71E-06,1.65E-05,1.54E-05,1.56E-05
ADCY6,2.51E-06,5.00E-05,2.14E-05,0.000119803,2.63E-05
ADCY7,0,0,4.69E-05,1.81E-05,1.09E-05
ADCY8,2.51E-06,6.23E-06,6.99E-06,1.51E-05,1.52E-05
ADCY9,2.92E-05,9.75E-06,2.41E-05,1.32E-05,1.40E-05
ADCYAP1,0,0,0,0,0
ADCYAP1R1,0,0,0,0,0
ADD1,0.000136607,0.000136635,0.00013239,0.000344731,0.000513996
ADD2,0,0,1.29E-06,1.47E-06,0
ADD3,5.81E-05,3.45E-05,0.000179223,0.000338906,0.00016285
ADGB,2.51E-06,0,2.47E-06,0,1.75E-05
ADGRA1,0,0,0,0,1.50E-06
ADGRA2,8.14E-06,2.11E-06,2.94E-05,2.94E-05,0.000182328
ADGRA3,0.000182733,0.000100663,3.67E-05,0.000132321,2.17E-05
ADGRB1,0,0,0,2.39E-06,3.13E-06
ADGRB2,0,7.03E-07,0,1.31E-06,4.63E-06
ADGRB3,1.10E-06,2.11E-06,5.05E-06,4.33E-06,6.02E-06
ADGRD1,1.31E-05,9.65E-06,1.42E-05,9.57E-06,6.90E-05
