gene,1_non_malignant_core,2_non_malignant_border,3_malignant_border,4_malignant_core,5_malignant_collagen
GPATCH2L,6.53E-05,3.22E-05,7.78E-05,3.40E-05,0.000135216
GPATCH3,7.22E-06,5.43E-06,1.83E-06,1.78E-05,7.64E-06
GPATCH4,5.83E-05,2.07E-05,2.59E-05,3.82E-05,2.33E-05
GPATCH8,2.53E-05,2.42E-05,6.27E-05,0.000111906,6.33E-05
GPBAR1,0,0,2.47E-06,0,2.75E-05
GPBP1,8.48E-05,6.89E-05,0.000145118,0.000242606,0.000398165
GPBP1L1,6.84E-05,9.35E-05,0.000179909,0.000242093,9.46E-05
GPC1,2.62E-05,1.04E-05,1.42E-05,2.30E-05,6.18E-05
GPC2,2.51E-06,1.41E-06,3.65E-06,1.85E-05,8.75E-06
GPC3,0,4.12E-06,4.27E-05,3.82E-05,0.000127077
GPC4,0,3.52E-06,8.92E-06,5.68E-06,3.01E-06
GPC5,2.51E-06,0,9.06E-05,0,0
GPC6,1.84E-05,1.93E-05,7.89E-05,4.53E-06,1.95E-05
GPCPD1,0.000104975,2.48E-05,4.52E-05,3.82E-05,3.66E-05
GPD1,4.22E-05,8.55E-05,4.30E-06,5.35E-06,0
GPD1L,7.53E-06,1.41E-06,2.22E-05,4.72E-05,6.02E-06
GPD2,4.39E-06,1.48E-05,2.86E-05,4.67E-05,4.51E-06
GPER1,0,6.33E-06,0,0,0
GPHA2,0,0,0,0,0
GPHN,6.56E-05,3.12E-05,1.40E-05,5.09E-06,6.02E-06
GPI,0.000180101,0.000101352,6.70E-05,6.29E-05,7.38E-05
GPKOW,0,1.41E-06,5.05E-06,5.44E-06,3.13E-06
GPLD1,5.99E-05,3.47E-05,0,2.15E-05,0
GPM6A,0.008248757,0.009049136,0.017759039,0.003426509,0.02204314
GPM6B,3.63E-05,0,1.22E-05,1.50E-05,7.64E-06
GPN1,0,2.71E-06,1.14E-05,1.91E-05,9.38E-06
GPN2,2.01E-05,1.23E-05,6.88E-06,1.96E-05,4.51E-06
GPN3,2.49E-05,3.42E-06,1.05E-05,2.82E-05,6.56E-05
GPNMB,4.78E-05,0.000217352,0.000107912,4.64E-05,0.000345007
