,experimental bulk,cellanneal mixed bulk,"fold change, exp/mixed","log10 fold change, exp/mixed"
A1BG,0.0018791124558400927,0.0013880398561354527,1.3537885439917212,0.13155083469680556
A1CF,0.0011347323709743355,0.0004137802875929915,2.7423548317760784,0.4381236472121999
A2M,0.005708314387894214,0.0030876242537097305,1.8487723630994823,0.2668834403447531
AADAC,0.00018255011549813587,0.000460123957412436,0.3967411662820798,-0.40149273433406585
AAK1,0.0003055645817630771,6.329866030146913e-05,4.827346744903937,0.683708495004711
ABAT,0.00036750579793881725,0.0004165353278080579,0.8822920251992797,-0.05438764622674149
ABCA1,0.00045797473485075554,7.086998400478135e-05,6.462181998232956,0.810379185144832
ABCA6,0.000275330785181102,0.00010009706461039943,2.750637955795728,0.43943343148478625
ABCA9,0.00017167388198130768,4.829973906789616e-06,35.543438804085746,1.5507594432045424
ABCB1,0.00016357002171386707,8.864555938829755e-05,1.8452139378733572,0.266046726403727
ABCC3,0.00024552777275018556,0.00011920559856081342,2.059700011698093,0.3138039714607309
ABCC6,9.873913957434219e-05,0.00013291454626540014,0.7428768509443847,-0.12908317464868457
ABCC9,0.0001578120157343698,5.926672901083598e-05,2.6627421213935456,0.42532910835452076
ABCG2,0.0001349932512971028,6.835895773665964e-05,1.9747704729077287,0.29551662495365677
ABHD14A-ACY1,0.00014331037104526554,0.00032615487478495606,0.4393936197941376,-0.35714625353366203
ABL2,7.656015357924155e-05,4.81078685545353e-05,1.5914268471996968,0.20178668028804572
ABLIM1,0.00033177417194382583,0.000153653136824868,2.1592411245204715,0.33430114312229775
ACAA1,0.0002057953988968471,0.0008522789073823478,0.2414648504313196,-0.6171460797146746
ACAA2,0.0002795575880890144,0.001358519406279872,0.2057810781331025,-0.686594561741624
ACADSB,0.0006294716114630639,0.0004464013207007581,1.410102484631818,0.14925067782745474
ACAP1,7.016236915757792e-05,7.941906269304186e-06,8.83444941030827,0.9461794881363835
ACAT1,0.0005227267109824133,0.0008103848773057308,0.6450351254336231,-0.19041663518389612
ACAT2,5.0115977969698513e-05,0.00025983256266041564,0.19287797286284267,-0.7147173670183454
ACMSD,3.3694997954095174e-05,0.00014731713644774248,0.22872422561680553,-0.6406878341055191
ACOT13,9.340765255628915e-05,0.0003371769761588284,0.27702856114436814,-0.5574754536504913
ACOX1,0.0006584599726776218,0.00030254918533542734,2.1763733124834124,0.33773339178254763
ACOX2,0.00010684299984178279,0.00029609784354184623,0.3608368050363161,-0.4426891712161208
ACP5,4.49977504323676e-05,1.9826797635947478e-05,2.2695420238104056,0.35593822873561953
ACSF2,3.1775662627596076e-05,4.73833491689628e-05,0.6706082027736839,-0.17353113865315808
ACSL1,0.0015037395156574365,0.0010207153876092003,1.473221168125635,0.16826795043138779
ACSL5,0.0007577173327901188,0.0003339680702940721,2.2688316644250413,0.35580227467588615
ACSM2A,0.001544706661904156,0.0009207737014790042,1.6776181372501753,0.2246931127750557
ACSM2B,0.0015323994572716824,0.0007879807061459382,1.9447169776107105,0.28885640565882253
ACSM3,6.056569252508246e-05,0.00016768353228341067,0.3611904621779867,-0.4422637264597509
ACSM5,0.00012006508764655432,0.0002855167749770733,0.420518505983389,-0.3762148872153671
ACTA2,0.00018127055861380317,0.00024596553154542726,0.7369754512953958,-0.13254697828004075
ACTB,0.0010377227657886498,0.003769132991063652,0.27532134531973723,-0.5601601169931016
ACTN1,0.00018233685601741376,0.00013076486270067222,1.394387240208347,0.1443833999679295
ACTN4,0.0003455549995880893,0.0003468948333355353,0.9961376370626137,-0.0016806506455487567
ACTR2,0.0003311898409666472,0.0002356730448651887,1.4052936819995543,0.14776709373833807
ADA2,2.9003289378208502e-05,5.4287995988690336e-05,0.5342486649212594,-0.27225655445739677
ADAM19,3.19889221083182e-05,7.642340167505797e-06,4.185749575022949,0.6217732418146622
ADAM8,2.4311580802321833e-05,1.2678665066464897e-05,1.9175189718218861,0.2827396695267796
ADAMTS1,0.0001249700557031631,0.00012809307299083643,0.9756191555503025,-0.01071968122820907
ADAMTS13,3.518781431915003e-05,1.0988389407346502e-05,3.2022722361499607,0.5054582500167485
ADAMTS2,7.208170448407702e-05,2.7640772565216647e-05,2.60780353783545,0.41627487017038006
ADAMTS8,2.4311580802321833e-05,2.062584297435184e-06,11.786951366086319,1.0714014916010435
ADAMTSL2,2.3458542879433347e-05,1.9307295793929457e-05,1.2150092446819567,0.08457958237802359
ADAMTSL3,5.2675091738363975e-05,1.2565937483689271e-05,4.191895097897538,0.6224104058997437
ADAP2,2.3458542879433347e-05,2.6734392863176397e-05,0.8774668270752031,-0.05676929319890382
ADD1,0.0002913870914846705,0.00015458269502257888,1.8849916637959343,0.27530943391824075
ADD3,7.357452084913186e-05,0.000138384656393041,0.5316667524191774,-0.27436049727911604
ADGRA3,0.000214673391079309,9.113763368086626e-05,2.355485680383407,0.37208046839196746
ADGRE2,0.00010129825334300764,1.604856534916301e-05,6.311981858757906,0.800165741999105
ADGRE5,8.082534319368399e-05,5.060995841702327e-05,1.5970244932368372,0.20331157687488308
ADGRG1,2.580439716737668e-05,3.485318038321099e-05,0.7403742465868862,-0.1305486962936972
ADGRG6,0.0004934205931415793,0.00010167926274783957,4.852716078058535,0.6859848824260263
ADGRL2,0.0001369125866236019,5.8962085820442884e-05,2.3220444921256944,0.3658705368924592
ADGRL4,2.2605504956544865e-05,2.8027092092571444e-05,0.8065590565685704,-0.09336382789950672
ADH1A,0.0015762733302406445,0.002925118964519211,0.5388749481167614,-0.2685120059522152
ADH1B,0.008517182732217769,0.010129511485685066,0.8408285773952845,-0.07529253628265759
ADH4,0.0020595875565908024,0.003908820417079069,0.5269076951173581,-0.2782654588145666
ADH6,0.00017828492588369343,0.0006959025860842986,0.2561923600354271,-0.5914338255824674
ADI1,0.0009058772244270053,0.0009708181944052142,0.9331069706434624,-0.030068566224350533
ADIRF,0.00011643967647427825,0.0002133950504199815,0.5456531266545969,-0.2630833518968805
ADM,0.00016548935704036616,6.647845442609412e-05,2.4893682993840525,0.3960891547674337
ADSS2,4.435797199020124e-05,1.2395946153003232e-05,3.5784256758371282,0.5536920013154999
AEBP1,0.00029122714687412893,0.00010891347850110758,2.673931187232876,0.427150226639659
AFDN,0.0005051072126851516,0.00015566361710578732,3.244863649428666,0.5111964522781863
AFM,0.0007813059639527926,0.0005585020991195326,1.398931114465829,0.14579632968558648
AGFG2,3.923974445287033e-05,4.256790250694877e-05,0.9218153148716887,-0.03535608086216615
AGMAT,6.802977435035671e-05,0.00011489686186719573,0.5920942769436938,-0.22760913669503996
AGMO,0.00016186394586809012,0.00013964299837667331,1.1591268287685859,0.06413095798328432
AGPAT2,0.0001578120157343698,0.00014160850585211114,1.114424693522159,0.04705072665854609
AGR3,4.563752887453397e-05,1.7295084640871585e-05,2.6387571857661674,0.42139942897202565
AGRN,8.700986813462551e-05,9.43560699277026e-05,0.9221438345333174,-0.03520133309804387
AGT,0.003210316521214104,0.0018946007026528458,1.6944554684894684,0.22903015975148835
AGTR1,9.490046892134399e-05,6.308523946442123e-05,1.5043212917479039,0.177340602433298
AGXT,0.000533541099249832,0.0017788491050092022,0.2999361203529807,-0.5229712303879018
AGXT2,2.217898599510062e-05,7.976020056758046e-05,0.2780708403097415,-0.5558445507134919
AHNAK,0.0011145132396070713,0.0003823954911063625,2.9145564357532443,0.4645724691592958
AHSG,0.002110185500986933,0.005277480788202907,0.399847121320454,-0.39810602631707553
AIF1,2.367180236015547e-05,0.00014794526949686002,0.16000378005095917,-0.7958697571198198
AIG1,0.00032252084307529303,0.000337023713351057,0.9569678046343961,-0.019102672990999117
AJAP1,2.729721353243153e-05,1.1586621475713552e-05,2.3559252012891405,0.372161497837027
AKAP1,0.00016143742690664586,0.0001002262168766324,1.6107305247823314,0.2070228890292797
AKAP12,0.0003186693768534515,0.0001195734229825689,2.665051889498106,0.42570566931130005
AKAP13,0.0006483706666446583,0.00020088385099734286,3.2275897909445916,0.5088783330978164
AKAP7,0.0002628615033432795,7.747414143872549e-05,3.3928934023899755,0.5305702152357301
AKAP9,0.0009395892831395584,0.00027791045737886387,3.3809065409102437,0.5290331656406695
AKNA,3.4761295357705776e-05,2.6605586207899646e-05,1.3065412310811841,0.11612311949656125
AKR1B1,9.490046892134399e-05,5.3782262414877704e-05,1.7645309933092703,0.24662929097877606
AKR1C1,0.0008986178717032244,0.0010553100500491205,0.8515202443693181,-0.06980502249483735
AKR1C2,0.0006456622712394873,0.0009665505725295466,0.6680067133473764,-0.17521917292105593
