,B cells,CAFs,Cholangiocyte,Hepatocytes,Kupffer cells,LSEC,LVEC,LVECm,Myofibroblasts,Pericytes,Proliferation,SAMs,Stellate cells,T cells_far,T cells_tumor,TM1,cDC1,cDC2,Carcinoma,rho_Spearman,rho_Pearson
1_non_malignant_core,0.0,0.00020695566566674925,0.06168659915738781,0.8719096672607355,0.005113690177841386,0.0071635280599819644,0.010443257785803971,0.002159233961651523,0.01883331023824219,8.412514531206898e-05,1.557999368601595e-07,0.0004186054448844724,0.0069031168364621035,2.2498790647871478e-05,0.002352103512407882,0.00042785940045229,5.907506867618713e-05,0.009946023566250321,0.002270194127658615,0.7186941265656364,0.8187434037285336
2_non_malignant_border,0.0011710334060044867,0.0003577404483535454,0.11432783658760433,0.6848915096957129,0.008941217026008901,0.005538744676757839,0.034429250705416616,0.0001272005355560976,0.00339535659267223,0.001801002041162085,0.0007153552562418403,0.023331381575674926,0.03416894563788654,0.004342018261846838,0.007027435013989645,0.0026175653800626303,0.00030233417939699923,0.01437038421857718,0.05814368876107445,0.7465893715600743,0.8411586576837832
3_malignant_border,0.0011123548550296541,0.025259691741293576,0.1298970525920519,0.12864307543362208,0.031982149684831686,0.00014303225799315423,0.02860543422220777,0.025006766031133255,9.921146834279141e-05,0.0056250042966148155,0.00011219608674288415,0.0022159914247520257,0.1395990300599375,0.06288023081782923,0.010414868516473282,0.0375080905296066,0.0013720964296496873,0.010427747955470855,0.35909597559641726,0.7446915341138457,0.8243594920444532
4_malignant_core,6.484475774914637e-05,0.06775651995525678,0.0631078444858291,0.02761160474855745,0.0030828120409698775,0.0,0.020878982724336685,0.007507383015653324,0.00019651371240645565,0.0023054322908769797,0.0005580503359383355,0.0004562353210966009,0.017407552229343648,0.001677759677149616,0.006887183108483746,0.003295876159092861,0.002563181594870734,0.0029030582350332203,0.7717391656073556,0.8523795299100189,0.8172833561077968
5_malignant_collagen,0.002306712543188606,0.34676623716701505,0.002137305664723033,0.014086126721333154,0.017462556688579774,0.034011943504129366,0.01858935844895601,0.04330927387135467,0.041691368002171304,0.0003010870945640783,0.00012696707332081857,0.014570357191891339,0.22170253039317103,0.015416621622171878,0.06472819860320163,0.03644737232241355,6.625095907925527e-05,0.036257081120003906,0.09002265100873169,0.6934179649974218,0.8208904183218761
